day,close,pem,pep,p20,p50,p80
2013-09-17,4270.88,29.93,11.06,30.96,34.63,39.59
2013-09-18,4207.86,30.37,15.00,30.95,34.63,39.59
2013-09-23,4270.32,30.63,17.18,30.94,34.63,39.59
2013-09-24,4373.16,31.46,24.17,30.94,34.62,39.59
2013-09-25,4363.01,31.77,27.56,30.94,34.61,39.59
2013-09-26,4334.31,32.38,35.05,30.95,34.61,39.58
2013-09-27,4432.88,32.38,35.02,30.95,34.60,39.58
2013-09-30,4499.02,33.16,40.75,30.95,34.59,39.58
2013-10-08,4510.90,33.28,41.67,30.95,34.59,39.58
2013-10-09,4493.68,33.55,43.29,30.96,34.59,39.57
2013-10-10,4479.68,32.96,39.95,30.96,34.58,39.57
2013-10-11,4445.91,33.06,40.52,30.97,34.58,39.56
2013-10-14,4514.14,33.45,42.92,30.97,34.58,39.56
2013-10-15,4471.19,35.70,58.33,30.97,34.58,39.56
2013-10-16,4552.02,34.62,50.30,30.97,34.58,39.56
2013-10-17,4473.58,33.81,44.45,30.97,34.58,39.55
2013-10-18,4439.41,33.78,44.24,30.97,34.58,39.55
2013-10-21,4454.23,34.71,51.04,30.97,34.58,39.55
2013-10-22,4557.30,34.49,49.01,30.97,34.58,39.55
2013-10-23,4547.36,32.40,34.97,30.97,34.58,39.55
2013-10-24,4472.15,32.23,33.22,30.98,34.57,39.55
2013-10-25,4448.29,31.37,22.84,30.98,34.57,39.55
2013-10-28,4326.46,31.66,26.27,30.98,34.57,39.55
2013-10-29,4268.46,30.95,19.79,30.97,34.57,39.55
2013-10-30,4182.60,30.94,19.52,30.97,34.57,39.55
2013-10-31,4251.24,30.65,17.10,30.96,34.56,39.54
2013-11-01,4164.46,30.55,16.14,30.95,34.56,39.54
2013-11-04,4172.67,30.66,17.24,30.95,34.56,39.54
2013-11-05,4131.51,30.87,19.19,30.94,34.56,39.54
2013-11-06,4127.33,30.67,17.38,30.94,34.55,39.54
2013-11-07,4063.10,30.34,14.37,30.94,34.55,39.53
2013-11-08,3989.76,30.07,12.39,30.93,34.55,39.53
2013-11-11,3934.78,30.31,14.26,30.91,34.55,39.53
2013-11-12,4068.80,30.68,17.66,30.90,34.54,39.53
2013-11-13,4134.97,29.96,11.25,30.89,34.53,39.53
2013-11-14,4066.38,30.52,16.18,30.88,34.52,39.52
2013-11-15,4141.63,30.84,19.57,30.87,34.50,39.52
2013-11-18,4158.68,32.33,35.12,30.87,34.50,39.52
2013-11-19,4197.70,32.35,35.17,30.87,34.49,39.52
2013-11-20,4171.06,32.19,33.62,30.87,34.49,39.52
